What is infrastructure as code (IaC)?	Defining, deploying, updating, and destroying infrastructure through code rather than manual steps.
Terraform resource reference: what does `<TYPE>.<NAME>` refer to?	A managed resource instance (or instances) of the given type and local name.
If a resource uses neither `count` nor `for_each`, what is the type/shape of `<TYPE>.<NAME>`?	An object representing the resource, with attributes you can access (e.g., `<TYPE>.<NAME>.id`).
If a resource uses `count`, what is the type/shape of `<TYPE>.<NAME>`?	A list of instance objects.
If a resource uses `for_each`, what is the type/shape of `<TYPE>.<NAME>`?	A map of instance objects keyed by the `for_each` keys.
Terraform child module: what does `module.<MODULE_NAME>` represent?	The result of a `module` block (its outputs exposed as a value).
If a `module` block uses neither `count` nor `for_each`, what is `module.<MODULE_NAME>`?	An object with one attribute per child-module output (access via `module.<MODULE_NAME>.<OUTPUT_NAME>`).
If a `module` block uses `for_each`, what is `module.<MODULE_NAME>`?	A map of objects keyed by the `for_each` keys, each object holding the module outputs.
If a `module` block uses `count`, what is `module.<MODULE_NAME>`?	A list of objects, one per module instance, each object holding the module outputs.
Terraform paths: what is `path.module`?	The filesystem path of the module where the expression appears.
Terraform paths: what is `path.root`?	The filesystem path of the root module of the configuration.
Terraform paths: what is `path.cwd`?	The original working directory where Terraform was run (before any `-chdir`).
Why avoid `path.module` in write operations (Terraform)?	Local module calls can share the same source directory, so writes can clobber each other and create race conditions.
Terraform workspaces: what is `terraform.workspace`?	The name of the currently selected workspace.
Why can using `terraform.workspace` for namespacing break module composability?	It can prevent calling the same module more than once in a configuration (name collisions/assumptions).
Block-local values: what is `count.index`?	The per-instance index available inside blocks that use `count`.
Block-local values: what are `each.key` and `each.value`?	The per-instance key and value available inside blocks that use `for_each`.
Block-local values: what is `self` used for?	A reference to the current resource in provisioner/connection blocks.
With `count`, how do you get an attribute of the first instance (Terraform)?	Index the list: `<TYPE>.<NAME>[0].id` (or similar).
With `count`, how do you get a list of an attribute across instances (Terraform)?	Use splat: `<TYPE>.<NAME>[*].id`.
With `for_each`, how do you access a particular instance attribute (Terraform)?	Index by key: `<TYPE>.<NAME>["key"].id`.
With `for_each`, how do you collect an attribute across instances (Terraform)?	Use a for-expression, e.g. `[for v in <TYPE>.<NAME> : v.id]`.
Terraform sensitive attributes: what happens in plan output?	Terraform shows a placeholder (like `(sensitive value)`) instead of the actual value.
If you derive a value from a sensitive resource attribute, how does Terraform treat it?	It typically marks derived values as sensitive too (so they’re also hidden in plan/apply output).
If an output depends on a sensitive value, what must you do (Terraform)?	Mark the output itself as `sensitive = true` to confirm you intend to export it.
Terraform unknown values: what are they (high level)?	Placeholders for values Terraform can’t know during planning (until apply).
How do unknown values propagate in expressions (Terraform)?	Operations that combine known + unknown usually produce unknown results.
Why can’t `count` be unknown (Terraform)?	Terraform must know the instance count during planning to build the graph and addresses.
What happens if a data source depends on unknown values (Terraform)?	It can’t be read during plan, so it’s deferred to apply and its results are unknown during planning.
When might type errors involving unknown values be detected (Terraform)?	Sometimes only at apply time, because full validation may be deferred until values are known.
Terraform operator precedence: what is the order from highest to lowest?	`!` and unary `-`; `*` `/` `%`; `+` `-`; `>` `>=` `<` `<=`; `==` `!=`; `&&`; `||`.
In Terraform, are `?` and `:` considered operators?	No; together they are part of the conditional expression syntax.
How do you compute exponents in Terraform (no operator)?	Use `pow(base, exponent)`.
Terraform best practice: when should you use `==`/`!=`?	Prefer primitive values, or use explicit type conversions to make types match.
Why can equality on structural types be surprising in Terraform?	Different structural types can look similar but never compare equal (e.g., an empty tuple literal `[]` vs an empty list value).
Terraform idiom: how to check whether a list is empty?	Use `length(var.list) == 0` instead of `var.list == []`.
Terraform: what are built-in functions used for in expressions?	To transform and combine values; they’re called with function-call syntax (see function reference for the full list).
How do you pass a list/tuple as separate function arguments in Terraform?	Use argument expansion with `...`, e.g. `min([55, 2453, 2]...)`.
What happens if you pass sensitive data into a Terraform function call?	The result is marked sensitive (conservatively, regardless of which function is called).
Name four special Terraform functions whose timing can matter.	`file`, `templatefile`, `timestamp`, `uuid`.
When does Terraform evaluate `file(...)` and `templatefile(...)` (high level)?	During initial configuration validation, before planning/applying actions.
What practical limitation follows from `file(...)`/`templatefile(...)` being evaluated during validation?	You can’t use them to read files generated dynamically during plan/apply.
How do `timestamp()` and `uuid()` behave during plan vs apply (Terraform)?	They produce unknown values during plan; the real values are decided during apply (timestamp corresponds to when apply begins).
What is the syntax of a conditional expression (Terraform)?	`condition ? true_val : false_val`.
Why add custom conditions in Terraform configs (high level)?	To capture assumptions and produce earlier, clearer error messages (e.g., in variable validation or pre/postconditions).
Terraform recommendation: what should you do if the expected result type may be unclear?	Use explicit type conversion functions (e.g., `tostring(...)`) rather than relying on implicit conversion.
Validation helper: how do you check membership in an allowed set (Terraform)?	`contains(["STAGE", "PROD"], var.environment)`.
Collection-wide validation pattern: how do you check a condition holds for all elements (Terraform)?	Use a for-expression + `alltrue([...])`, e.g. `alltrue([for v in var.instances : <bool expr>])`.
Collection-wide validation pattern: how do you check a condition holds for any element (Terraform)?	Use a for-expression + `anytrue([...])`.
What does `can(expr)` do in Terraform conditions?	Returns true if `expr` evaluates without error; false if evaluating it produces an error.
Example: how can `can` be used to validate a string with `regex` (Terraform)?	`can(regex("^[a-z]+$", var.name))` (because `regex` errors on non-match).
In conditions, what are `self`, `each`, and `count` used for (Terraform)?	`self` refers to attributes of the instance under evaluation in postcondition blocks; `each`/`count` refer to per-instance values inside blocks using `for_each`/`count`.
What does a for expression do (Terraform)?	A for expression transforms one collection into another by evaluating an expression per element (optionally filtering elements out).
Terraform for expression: what does the two-symbol form `for k, v in ...` provide?	Two temporary symbols: key/index (`k`) and value (`v`) for each element.
In a Terraform for expression over a list/tuple, what is the first symbol in `for i, v in ...`?	The zero-based index of each element.
In a Terraform for expression over a map/object, what is the first symbol in `for k, v in ...`?	The key (map key) or attribute name (object attribute).
Terraform for expression: what result type do `{...}` braces produce, and what syntax is required?	An object; you must provide `key_expr => value_expr`.
Terraform for expression: how do you filter elements?	Add `if <condition>` at the end (e.g., `[for s in var.list : upper(s) if s != \"\"]`).
What is a splat expression for (Terraform)?	A concise way to map over a collection and extract nested attributes/indexes (often equivalent to a for-expression).
What does the `[*]` operator do in a splat expression (Terraform)?	Iterates over all elements on the left and applies the access operations on the right to each element.
Can splat expressions chain deeper attribute/index accesses (Terraform)?	Yes; e.g. `var.list[*].interfaces[0].name` applies `.interfaces[0].name` to each element.
What collection types support splat expressions (Terraform)?	Lists, sets, and tuples.
How do you get a “splat-like” result for a map/object (Terraform)?	Use a for-expression (splats don’t work on maps/objects).
Common use: why use `var.obj[*]` for an optional object input (Terraform)?	To drive `for_each` in a `dynamic` block: 0 blocks if `null`, 1 block if set.
Why do you need `dynamic` blocks (Terraform)?	Some resource arguments are repeatable nested blocks that can’t be generated with expressions in `name = expr` form; `dynamic` generates nested blocks from data.
Where can you use `dynamic` blocks (Terraform)?	Inside `resource`, `data`, `provider`, and `provisioner` blocks.
In a `dynamic` block, what does `for_each` do (Terraform)?	Supplies the collection/structural value to iterate over; one nested block is generated per element.
In a `dynamic` block, what does `content { ... }` define (Terraform)?	The body of each generated nested block.
In a `dynamic` block, what does `iterator` control (Terraform)?	The name of the temporary variable for the current element; defaults to the dynamic label if omitted.
What are `iterator.key` and `iterator.value` in a `dynamic` block (Terraform)?	`key` is map key or list index (for sets, `key == value` and shouldn’t be used); `value` is the element value.
In a `dynamic` block, what does `labels` do (Terraform)?	Optional list of strings to set the generated block labels (in order); can use the iterator variable to compute labels.
Nested dynamic blocks: what iterator pitfall should you watch for (Terraform)?	Inner and outer iterators differ (e.g., `origin_group.value` vs `origin.value`); choose iterator names carefully to avoid confusion.
How do you make a Terraform test run behave more like a unit test?	Set `command = plan` in the `run` block so it validates logic without creating infrastructure.
What root-level block executes one test step in a Terraform test file?	A `run` block.
What is the purpose of an `assert` block in a Terraform test `run` block?	To verify a condition and fail the run with an error message if it is false.
What values can Terraform test assertions reference?	Named values from the main configuration plus outputs from current or previous run blocks.
How do root-level `variables` and run-level `variables` differ in Terraform tests?	Root-level variables apply to all runs; run-level variables override them for that specific run.
What precedence do variables defined in Terraform test files have?	They have the highest precedence over environment variables, variable files, and command-line input.
What is the purpose of a root-level `provider` block in a Terraform test file?	To configure providers for the test runs instead of relying only on the main configuration defaults.
What does the `module` block in a Terraform test `run` block do?	It tells that run to execute an alternate module instead of the main configuration under test.
What is a common use of an alternate module in Terraform tests?	A setup module that creates prerequisite infrastructure for the configuration under test.
How does Terraform destroy resources created during a test file?	It attempts to destroy them in reverse run-block order.
What is `expect_failures` used for in Terraform tests?	To mark specific custom-condition failures as the expected success case for a run.
When is `expect_failures` usually safest to use in Terraform tests?	With `command = plan`, because apply runs can fail earlier during planning.
What kinds of failures can `expect_failures` cover in Terraform tests?	Only user-defined custom condition failures, not arbitrary type or runtime errors.
What does input variable validation verify (Terraform)?	That input variables meet required formats, ranges, or other constraints before planning continues.
When does Terraform execute input variable validation?	Immediately, before generating a plan.
What do preconditions validate in Terraform?	Assumptions about resources, data sources, or outputs before Terraform creates or exposes them.
When does Terraform execute preconditions?	After generating a plan but before creating the associated resource, data source, or output.
What do postconditions validate in Terraform?	Guarantees that resources or data sources must satisfy after Terraform creates or reads them.
When does Terraform execute postconditions?	After planning and applying changes to a resource, or after reading from a data source.
What does a `check` block validate in Terraform?	Infrastructure behavior or conditions outside the normal resource lifecycle.
When does Terraform execute `check` blocks?	At the end of `plan` and `apply` operations.
What happens when a Terraform `check` assertion fails?	Terraform reports a warning and continues the current operation.
How do `check` blocks differ from variable validation and pre/postconditions (Terraform)?	Checks do not block operations when they fail.
What is continuous validation in HCP Terraform?	Regularly re-running checks, preconditions, and postconditions to verify infrastructure over time.
When does HCP Terraform continuous validation run `check` blocks?	Whenever workspace health assessments run, in addition to normal plan/apply execution.
What is the purpose of policy enforcement in HCP Terraform?	To validate that Terraform plans comply with security rules and best practices.
What policy frameworks can HCP Terraform use for custom policies?	Sentinel and OPA.
When does HCP Terraform evaluate a policy set?	For each run in the selected workspaces.
What determines whether failed policies stop a run in HCP Terraform?	The policy’s enforcement level.
What are Terraform type constraints used for?	To validate user-provided values for input variables and resource arguments more precisely.
What are the collection types in Terraform?	`list(...)`, `map(...)`, and `set(...)`.
What are the structural types in Terraform?	`object(...)` and `tuple(...)`.
What must an `object({...})` value contain to match its schema in Terraform?	All specified keys, with values matching the declared types.
What happens to extra attributes when Terraform converts a value to an `object(...)` type?	Extra attributes are discarded during conversion.
What must a `tuple([...])` value match in Terraform?	Exactly the declared number of elements and the declared type at each position.
What happens when Terraform converts a list or tuple to a set?	Duplicates are discarded and element ordering is lost.
What happens when Terraform converts a set to a list or tuple?	The elements come back in arbitrary order; for strings, Terraform uses lexicographical order.
When is `any` an appropriate Terraform type constraint?	When the module treats the value as opaque and passes it through without inspecting its contents.
Why would Terraform reject `["a", [], "b"]` for `list(any)`?	Because there is no single element type that both strings and an empty tuple can all convert to.
What does `optional(string)` mean in an object type constraint (Terraform)?	The object attribute may be omitted; if omitted, Terraform supplies `null` of that type by default.
What does `optional(number, 127)` mean in an object type constraint (Terraform)?	The attribute is optional and defaults to `127` if omitted or set to `null`.
How does Terraform apply defaults for nested optional object attributes?	Top-down: it applies the outer optional default first, then nested defaults inside that value.
How can a caller dynamically leave an optional object attribute unset in Terraform?	Use a conditional expression that returns `null` when you want Terraform to treat it as omitted.
What components can Terraform version constraints apply to?	Modules, provider requirements, and Terraform itself via `required_version`.
What does `!=` mean in a Terraform version constraint?	Exclude one exact version.
What does the Terraform pessimistic constraint operator `~>` do?	It allows only the right-most specified version component to increment.
Do `>`, `>=`, `<`, `<=`, or `~>` match pre-release versions in Terraform?	No; pre-release versions are not matched by those operators.
What is the recommended module-version practice for third-party Terraform modules?	Require specific versions so updates happen only when you choose.
How should reusable Terraform modules constrain Terraform core and provider versions?	Constrain only the minimum allowed versions, such as `>= 0.12.0`.
How should root Terraform modules usually constrain provider versions?	Use `~>` to set both lower and upper bounds for each provider they depend on.
Why can changing EC2 User Data require instance replacement?	User Data normally runs only on first boot, so an existing instance may need to be replaced to rerun it.
Why is `create_before_destroy` useful with an Auto Scaling Group launch configuration?	It lets Terraform create a replacement launch configuration before deleting the old one, avoiding reference conflicts.
Why is the Terraform state file considered a private API?	Its format is for Terraform's internal use and should not be edited or parsed directly by your own code.
How should you manipulate Terraform state if you must change it?	Use Terraform commands such as `terraform import` or `terraform state` instead of editing the file by hand.
Why do teams need shared Terraform state storage?	Everyone applying the same configuration must read and update the same state.
What problem does state locking solve in Terraform?	It prevents concurrent Terraform operations from corrupting or conflicting over shared state.
Why is state-file isolation important in Terraform?	It limits the blast radius of mistakes so a problem in one environment or component does not affect everything else.
Why is version control a poor place to store Terraform state?	It is easy to use stale state, it does not provide Terraform locking, and state files may contain plain-text secrets.
What problems do remote backends solve for Terraform teams?	They reduce manual state-sync errors, provide locking support, and improve protection for sensitive state.
Why is S3 plus DynamoDB a common Terraform backend pattern on AWS?	S3 provides durable remote state storage, and DynamoDB provides locking.
What is `prevent_destroy` useful for on Terraform state-storage infrastructure?	It helps prevent accidental deletion of critical resources such as the bucket holding Terraform state.
Why is versioning useful on a Terraform state bucket?	It keeps older revisions of state so you can inspect or recover previous versions.
Why is encryption important for Terraform state storage?	State can contain sensitive data, so encryption reduces the risk of exposing secrets.
What is the backend bootstrap chicken-and-egg problem in Terraform?	You often need Terraform to create the remote state backend before Terraform can use that backend for its own state.
What limitation does Terraform place on backend blocks?	Backend configuration cannot use normal variables or references.
What is partial backend configuration in Terraform?	Leaving some backend settings out of code and supplying them at `terraform init` time with `-backend-config`.
What are Terraform workspaces?	Named, separate state instances for the same Terraform configuration.
Why are Terraform workspaces useful?	They let you try isolated copies of the same configuration without changing the base code.
Why are Terraform workspaces weak for isolating staging from production?	They usually share the same backend and credentials, and the active workspace is easy to overlook.
What is file-layout isolation in Terraform?	Separating environments and components into different folders and state files.
Why is file-layout isolation stronger than workspaces for real environments?	It makes environment boundaries explicit and can use separate backends and access controls.
What is a common tradeoff of file-layout isolation in Terraform?	It improves safety and clarity, but requires running Terraform separately in multiple folders and coordinating dependencies between them.
What does the `terraform_remote_state` data source do?	It reads outputs from another Terraform state file.
Why do hardcoded resource names make a Terraform module non-reusable?	Using the module more than once can create naming conflicts.
Why do hardcoded environment-specific values make a Terraform module non-reusable?	They couple the module to one environment’s naming or state layout instead of letting callers supply those differences.
What is the main benefit of versioned Terraform modules?	They let different environments use different tested versions of the same module.
Why are tags usually better than branch names for Terraform module versions?	Tags point to stable versions, while branches can change between runs.
What does semantic versioning communicate for a Terraform module?	Whether a release is a breaking change, a backward-compatible feature addition, or a backward-compatible bug fix.
When should you use local module paths vs versioned remote sources (Terraform)?	Use local paths for fast iteration during module development; use versioned remote sources for shared environments that need reproducible upgrades.
Why is `count` considered Terraform's simplest and most limited looping construct?	It can only create a fixed number of whole resource or module instances and identifies them by numeric index.
What is the main identity problem with `count` on a list-backed set of resources?	Removing an item from the middle shifts later indexes, so Terraform may replace or rename the wrong resources.
Why is `for_each` usually safer than `count` for multiple similar Terraform resources?	It keys instances by stable map/set keys instead of fragile numeric positions.
When using `for_each` on a resource, why is `toset(...)` often needed?	Resource-level `for_each` accepts maps or sets, so a list often needs conversion first.
What is one key advantage of `for_each` over `count` for inline blocks?	`for_each` can be used inside `dynamic` blocks to generate nested blocks, while `count` cannot.
What is the purpose of a `dynamic` block in Terraform?	To generate repeated nested blocks inside a resource, data source, provider, or provisioner from collection data.
What is `default_tags` in the AWS provider used for?	To apply a baseline set of tags automatically to most AWS resources managed through that provider configuration.
What is a for string directive in Terraform?	A `%{ for ... } ... %{ endfor }` construct that repeats text generation inside a string or heredoc.
What does an if string directive do in Terraform?	It conditionally renders part of a string using `%{ if ... }`, optionally with `%{ else }`.
What problem do strip markers `~` solve in Terraform string directives?	They remove surrounding whitespace that would otherwise be preserved in heredocs and rendered strings.
How can `count` be used to model a simple conditional resource in Terraform?	Set `count` to `1` when the condition is true and `0` when it is false.
Why can `for_each` plus a filtered for-expression be useful for conditionals?	You can create zero or more instances by transforming and filtering a collection before iterating over it.
Why can `one(concat(a[*].x, b[*].x))` be safer than repeating an if/else condition in Terraform outputs?	It derives the surviving value from whichever conditional resource exists instead of duplicating branching logic in another place.
Why is zero-downtime deployment with `create_before_destroy` and ASGs considered a workaround?	It can work, but it stitches together lifecycle tricks and health-check settings instead of using a deployment feature designed for rolling replacement.
Why can tying an Auto Scaling Group name to a launch configuration name force replacement?	Changing the launch configuration changes the ASG name, and a changed name can require Terraform to replace the ASG.
Why can `create_before_destroy` interact poorly with auto scaling policies on an ASG?	The replacement group can come up at its configured minimum size instead of preserving the currently scaled-out capacity.
Why is `instance_refresh` usually preferable to ASG replacement tricks for rolling deployment on AWS?	It is a first-class AWS mechanism for gradually replacing instances behind an ASG with built-in rollout behavior.
Why can a valid-looking `terraform plan` still fail during `apply`?	Terraform plans from its state, so it may not know about conflicting real-world resources that were created outside Terraform.
What is the key lesson once Terraform manages part of your infrastructure?	Avoid manual out-of-band changes so the code and state remain an accurate model of reality.
What does `terraform import` do?	It associates an existing real infrastructure object with a resource address in Terraform state.
Why can refactoring Terraform be risky even when behavior seems unchanged?	Renaming resource addresses, module addresses, or identity-driving arguments can make Terraform think old resources were deleted and new ones added.
What does `terraform state mv` do?	It moves state from one resource address to another so Terraform preserves identity across a refactor.
What does a `moved` block do in Terraform?	It declares an old-to-new address mapping so Terraform can update state automatically during planning and apply.
Why do immutable resource arguments make Terraform refactors or updates more dangerous?	Changing an immutable argument forces replacement, which can cause downtime or data loss if not planned carefully.
Why is storing secrets in plain text in version control especially dangerous?	It exposes them to everyone and every machine with repo access and makes auditing or revocation very difficult.
Why should infrastructure secrets and customer secrets usually be managed differently?	They often require different storage and security models, such as reversible encryption for infrastructure secrets versus one-way hashing for customer passwords.
What is a file-based secret store?	A system that keeps secrets in encrypted files, often checked into version control.
What is a centralized secret store?	A service that stores encrypted secrets centrally and serves them over a network API, CLI, or UI.
Why does a file-based secret store create a key-management problem?	The encryption key is itself a secret that must be stored and accessed securely.
What tools are commonly used to protect encryption keys for encrypted secret files?	A cloud KMS or developers' PGP keys.
What is a common way for human users to authenticate Terraform providers securely?	Store provider credentials in a personal secrets manager and expose them to Terraform through environment variables.
Why are environment variables a common way to pass secrets to Terraform providers and resources?	They keep plain-text secrets out of Terraform code and work with many external secret-management approaches.
What is a key drawback of using environment variables for Terraform secrets?	Secret handling is mostly outside Terraform, which makes practices less standardized and easier to misconfigure.
What does setting `sensitive = true` on a Terraform variable help with?	It suppresses the value in normal Terraform CLI output, but does not keep it out of state.
What is one common machine-user approach for Terraform provider authentication in CI systems?	Store machine credentials in the CI platform and expose them as environment variables during the build.
What is the main drawback of CI systems that rely on stored long-lived provider credentials?	They require manual credential management and often depend on permanent credentials.
Why are IAM roles preferable to stored access keys for Terraform automation running inside AWS?	They avoid manual credential management and provide temporary credentials automatically.
How does an EC2 instance make IAM-role credentials available to Terraform?	AWS exposes temporary credentials through the instance metadata service, which Terraform can use automatically.
