When is streaming usually preferable to batch processing?	When the application needs low-latency or continuously updated results.
How should pipelines handle temporary PII storage?	Avoid it when possible; otherwise encrypt it and apply strict access and TTL controls.
When are exactly-once semantics unnecessary in a pipeline?	When work units are idempotent and repeated processing produces the same correct result.
What are windowing functions used for in event pipelines?	They group unordered or late-arriving events into fixed, sliding, or session windows for aggregation.
What is an idempotent mutation in a pipeline?	A write or update that can be applied multiple times with the same final result.
Why are idempotent mutations useful for pipeline recovery?	Failed or interrupted work can be retried without duplicating or corrupting output.
What is a two-phase mutation pattern?	Write proposed mutations to temporary storage, verify them, then apply only the validated mutations.
When are two-phase mutations especially useful?	Testing, canarying, or risky releases where output must be validated before production data is changed.
What is checkpointing in a pipeline?	Periodically saving partial processing state so a long-running job can resume instead of restarting from the beginning.
How does checkpointing reduce recovery cost?	It lets jobs skip work already completed after failure, preemption, rescheduling, or resource changes.
Why use shared libraries across similar pipelines?	Common metrics, monitoring, reporting, and utilities can be improved once and reused consistently.
Why split a large pipeline into smaller pipeline services?	Smaller components can be released, monitored, scaled, and operated independently.
Why should pipeline stages respect data dependencies?	Downstream stages should not process incomplete input that can create incorrect output.
What helps debug delayed pipeline data?	Current and historical run progress, logs, data-flow diagrams, counters, and work-unit tracing.
What is the first response to corrupt pipeline data?	Stop or filter additional corrupt data from entering or spreading through the system.
How is corrupt pipeline data repaired?	Restore a known-good version, reprocess affected data, or selectively repair impacted users or accounts.
Why keep intermediate pipeline data or checkpoints?	They can reduce the amount of work needed to repair corruption or recover from failures.
What dependency issues can delay pipeline input or output?	Storage refusal, throttling, hot ranges, network problems, resource exhaustion, or dependency bugs.
What pipeline application issues commonly cause outages?	Performance regressions, bad configs, CPU-heavy logic, out-of-memory failures, permission errors, or wrong input/output paths.
Why can unexpected load growth break a pipeline?	It may exceed worker capacity and also overload downstream storage, networking, or serving dependencies.
How can pipelines survive unexpected resource growth temporarily?	Request emergency capacity and prioritize higher-value data while lower-priority work is delayed or dropped.
Why are singly homed pipelines vulnerable to regional outages?	If the only region fails, processing stops and data may become stranded, delayed, or incorrect downstream.
What is the benefit of decoupling data collection from data delivery?	Collection and delivery become separate failure domains, reducing the blast radius of production issues.
Why isolate pipeline work by event type or data class?	Failures, overload, ownership, access control, and retention policies for one class do not have to affect others.
What does a timeliness SLO measure for event delivery?	How long it takes for data for a time period to become delivered and available for downstream jobs.
What does a completeness SLO measure for event delivery?	The percentage of successfully published events that are eventually delivered.
What does a skewness SLO measure for event delivery?	How much data is assigned to the wrong time bucket or partition.
Why measure pipeline SLOs with an independent external system?	It reduces bias and avoids adding unrelated measurement complexity to the delivery system itself.
Why use server receipt time for event-delivery buckets?	Client timestamps can be delayed, buffered, offline, or wrong, making server receipt time more reliable for delivery SLOs.
Why separate data delivery SLOs from data quality SLOs?	Delivery systems can guarantee timely intact delivery, while business owners must define quality for event contents.
Why provide a pipeline as a limited managed service?	A small, well-defined API hides operational complexity and scales support better than exposing every internal capability.
Why require explicit event ownership in a pipeline service?	Ownership improves data quality accountability and gives operators a clear communication path during incidents.
How should high-volume pipeline logs be managed?	Log useful or exceptional events, rate-limit noisy logs, and avoid drowning signal in routine request logs.
Why should autoscaler limits still be capacity-planned?	Limits must be high enough for peaks but low enough to prevent runaway scaling from exhausting shared quota.
