Define reliability (DDIA framing).	Continuing to work correctly (correct function at required performance) even when things go wrong.
Why are LSM-trees often attractive for write-heavy workloads?	They turn many writes into sequential disk operations and can sustain high write throughput.
Why can B-trees be preferable for some read-heavy or latency-sensitive workloads?	They often provide more predictable reads because data is not spread across many compaction stages.
What is write amplification?	One logical write causing multiple physical writes over time.
Why can compaction hurt LSM-tree performance?	It competes with foreground reads and writes for finite disk bandwidth.
What is a secondary index?	An index on a non-primary-key field that helps find rows/documents by other attributes.
What is a clustered index?	An index that stores the actual row data within the index itself.
What is a covering index?	An index that stores enough columns to answer some queries without fetching the base row separately.
What is a concatenated multi-column index?	An index that combines multiple columns into one ordered key, typically in a specified column order.
Why are specialized multidimensional indexes useful?	They can narrow by multiple dimensions at once, such as time plus temperature or latitude plus longitude.
What is an in-memory database?	A database that serves reads from memory and uses disk or replication mainly for durability.
Why can an in-memory database be faster even if disk-based systems also use caches?	It avoids much of the overhead of encoding and managing disk-centric storage structures.
What is a data warehouse?	A separate analytical database containing cleaned, transformed copies of data from operational systems.
Why is column-oriented storage good for analytics?	Queries often need only a few columns across many rows, so reading columns separately reduces I/O.
Why does column-oriented storage compress well?	Values in a column are often repetitive or low-cardinality, making techniques like bitmap and run-length encoding effective.
What is vectorized processing?	Processing chunks of column data in tight loops, often directly on compressed data, to use CPU caches and SIMD efficiently.
Why can sort order matter in column stores?	Sorting by commonly filtered columns improves pruning and often improves compression.
What is a materialized view?	A precomputed query result stored on disk to speed up repeated reads.
Why do data formats need forward and backward compatibility?	Because old and new code and old and new data formats often coexist during rolling upgrades and delayed client updates.
Why is forward compatibility often harder than backward compatibility?	Older code must ignore or safely handle fields added by newer code.
Why is language-specific serialization usually a poor long-term choice?	It ties data to one language, often has security/versioning problems, and may be inefficient.
Why can language-specific deserialization be a security risk?	Decoding arbitrary byte sequences may instantiate arbitrary classes and enable code execution or other attacks.
What is a key weakness of JSON, XML, and CSV compared with schema-driven binary formats?	They are more ambiguous about types and typically less compact.
Why can numbers be problematic in JSON/XML/CSV?	Precision and numeric type interpretation can be ambiguous, especially for large integers.
Why are binary strings awkward in JSON and XML?	They usually must be encoded as text such as Base64, which is hacky and increases size.
What is the main idea behind Thrift and Protocol Buffers?	Use an explicit schema with field tags so encoded data can omit field names and stay compact.
Why are field tags critical in Thrift and Protocol Buffers?	Encoded data identifies fields by tag number, so changing a tag breaks compatibility with existing data.
What schema change is safe in Thrift or Protocol Buffers?	Adding a new field with a new tag number, as long as it is optional or has a default value.
Why must newly added fields in Thrift or Protocol Buffers not be required?	New code must still be able to read old data that does not contain the new field.
What restriction applies when removing a field in Thrift or Protocol Buffers?	The field should be optional, and its tag number must never be reused.
Why can changing a field’s datatype in Thrift or Protocol Buffers be risky?	Old and new code may interpret the value differently, causing truncation or loss of precision.
What is Avro’s key difference from Thrift and Protocol Buffers?	Avro’s binary encoding does not use field tags; it relies on schema resolution between writer and reader schemas.
What are the writer’s schema and reader’s schema in Avro?	The writer’s schema is used to encode data; the reader’s schema is what the decoder expects and resolves against.
How does Avro match fields during schema resolution?	By field name, not by field position or tag number.
What happens in Avro if the writer has a field the reader does not know?	The reader ignores that field.
What happens in Avro if the reader expects a field missing from the writer’s schema?	The reader fills it with the default value from the reader’s schema.
What field changes are compatible in Avro?	Adding or removing fields that have default values.
Why is Avro friendly to dynamically generated schemas?	It identifies fields by name rather than manually assigned tag numbers.
What is a major benefit of schema-driven binary encodings over ad hoc textual formats?	They provide explicit compatibility rules, compact data, and useful schema documentation.
What does it mean that data often outlives code?	Old data may remain stored for years, long after the code that wrote it has been replaced.
Why do databases often require both backward and forward compatibility?	New and old application versions may read and write the same database during rolling upgrades.
What application-level risk exists when old code rewrites data written by new code?	Unknown fields may be lost if the old code decodes and reencodes the record without preserving them.
What is a key difference between databases and services as dataflow mechanisms?	Databases allow later reading of stored data, while services expose an application-specific API over the network.
REST vs SOAP: what is the high-level contrast?	REST is a simpler HTTP-oriented design style; SOAP is a more complex XML-based protocol stack.
What is the core problem with making RPC look like a local function call?	Remote calls have failure modes, latency, retries, and serialization costs that local calls do not.
Why are network requests fundamentally less predictable than local function calls?	Requests or responses may be lost, delayed, timed out, or retried due to failures outside the caller’s control.
Why can retrying an RPC be dangerous?	The original request may already have been processed, so retries can perform the action multiple times unless it is idempotent.
Why is REST often easier to experiment with and debug than custom RPC?	It works with standard tools such as browsers and `curl` and has a broad ecosystem of HTTP infrastructure.
Why do public or cross-organizational service APIs often need long-term compatibility?	The service owner cannot force all clients to upgrade at the same time.
What are advantages of a message broker over direct RPC?	It can buffer overload, retry delivery, decouple sender from recipient, and support one-to-many delivery.
What is the key communication difference between message passing and RPC?	Message passing is usually asynchronous and one-way, while RPC typically expects an immediate reply.
What is the actor model?	A concurrency model where independent actors hold local state and communicate by asynchronous messages.
Why does location transparency fit the actor model better than classic RPC?	Actor systems already assume asynchronous message passing and possible message loss, so local and remote communication are less mismatched.
What is replication in distributed systems?	Keeping copies of the same data on multiple network-connected machines.
What is leader-based replication?	A replication model where one leader accepts writes and followers copy changes from it.
What is the main tradeoff between synchronous and asynchronous replication?	Synchronous replication improves durability but can block writes; asynchronous replication improves availability but can lose unreplicated writes on leader failure.
What is semi-synchronous replication?	A setup where at least one follower is replicated synchronously while others are asynchronous.
How is a new follower typically initialized in leader-based replication?	By copying a consistent snapshot and then replaying changes from a known position in the replication log.
How does a follower usually recover after a temporary failure?	It reconnects and catches up from the last replication-log position it had processed.
What is failover in leader-based replication?	Promoting a follower to leader and reconfiguring the system after the old leader fails.
Why is failover hard in leader-based replication?	Because leader failure detection, stale replicas, reconfiguration, and split-brain risks can all cause data loss or inconsistency.
What is split brain in replication?	A fault where two nodes both believe they are the leader and may accept conflicting writes.
What is statement-based replication?	Replicating writes by forwarding the original write statements to replicas.
Why can statement-based replication be unsafe?	Nondeterministic functions, side effects, and ordering differences can make replicas diverge.
What is write-ahead log shipping for replication?	Replicating low-level storage-engine log records from leader to followers.
What is a logical replication log?	A replication log that describes row-level data changes independently of storage-engine internals.
Why is a logical replication log useful?	It decouples replication from storage internals and is easier for external systems to consume.
What problem does read-after-write consistency prevent?	A user failing to see their own successful write on a subsequent read.
What problem do monotonic reads prevent?	A user seeing newer data and then later seeing older data from another replica.
What problem do consistent prefix reads prevent?	Seeing causally related writes in the wrong order, such as an answer before the question.
What is multi-leader replication?	A replication model where multiple nodes accept writes and replicate changes to each other.
When is multi-leader replication most useful?	For multi-datacenter setups, offline-capable clients, or collaborative editing.
Why does multi-leader replication create write conflicts?	Because different leaders can accept concurrent writes to the same data.
What is conflict avoidance in multi-leader replication?	Routing all writes for a given record through one leader so concurrent conflicts cannot occur.
What does convergent conflict resolution require?	All replicas must eventually settle on the same final value after a conflict.
What is leaderless replication?	A replication model where clients write to and read from multiple replicas without a leader.
What is read repair in leaderless replication?	Fixing a stale replica during a read by writing back a newer value discovered from other replicas.
What is anti-entropy in leaderless replication?	A background process that compares replicas and copies missing updates between them.
In leaderless replication, what do `n`, `w`, and `r` mean, and what does `w + r > n` aim to guarantee?	`n` is the number of replicas for a value, `w` is the write quorum, and `r` is the read quorum; `w + r > n` aims to make reads overlap writes on at least one up-to-date replica.
Why can quorum systems still return stale reads?	Concurrent writes, sloppy quorums, failures, and repair timing can still break the ideal guarantee.
What is a sloppy quorum?	A write or read quorum that uses temporarily reachable nodes outside the normal home replica set.
What is hinted handoff?	Later transferring data from temporary sloppy-quorum nodes back to the intended home replicas.
What is last-write-wins conflict resolution?	Choosing the write with the latest timestamp or ordering value and discarding the others.
Why can last-write-wins lose data?	Concurrent writes that were all accepted may still be discarded except for one.
When are two operations concurrent in a distributed system?	When neither happened before the other.
What does “happens-before” mean in distributed systems?	One operation knew about, depended on, or built upon another earlier operation.
Why doesn’t concurrency depend on exact clock time?	Because distributed systems care about causal dependence, not perfectly synchronized timestamps.
What are sibling values in leaderless replication?	Concurrent versions of the same value that must later be merged.
Why may applications need to merge sibling values?	Because the database preserves concurrent writes instead of silently discarding them.
What is a version vector?	A set of per-replica version counters used to track causal relationships between writes across replicas.
What is skew in a partitioned database?	An uneven distribution of data or query load across partitions.
What is a hot spot in a partitioned database?	A partition with disproportionately high load compared with the others.
Why is random assignment of records to partitions usually a poor approach?	It spreads load but makes reads inefficient because the system may need to query many or all nodes.
What is key-range partitioning?	Assigning each partition a continuous range of keys.
Why does key-range partitioning support efficient range queries?	Nearby keys are stored together in sorted order within the same partition or neighboring partitions.
Why can key-range partitioning create hot spots?	If many writes target nearby keys, they all land in the same partition.
Why might key-range boundaries be unevenly spaced?	Because the data distribution is uneven, so boundaries must adapt to balance partition sizes.
What is hash partitioning?	Applying a hash function to a key and assigning partitions by ranges of hash values instead of ranges of keys.
Why does hash partitioning help distribute load?	A good hash function spreads skewed keys more evenly across partitions.
Why does hash partitioning make range queries harder?	The hash destroys the natural ordering of keys, so nearby keys are scattered across partitions.
What is a compound-key compromise used by systems like Cassandra?	Hash one part of the key to choose the partition, but keep later key parts ordered within the partition.
Why does hashing not eliminate all hot spots?	If many requests target the same key, they still all map to the same partition.
What is the tradeoff of splitting a hot key into several derived keys?	Writes spread across partitions more evenly, but reads become more expensive because results must be combined.
What is a document-partitioned secondary index?	A local secondary index stored in the same partition as the document it indexes.
What is the main write advantage of a document-partitioned secondary index?	Only the partition containing the document needs to be updated on write.
Why can document-partitioned secondary indexes make reads expensive?	A secondary-index query may require scatter/gather across all partitions.
What is a term-partitioned secondary index?	A global secondary index partitioned by indexed value rather than by primary-document partition.
What is the main read advantage of a term-partitioned secondary index?	A query can often be served from one relevant index partition instead of all partitions.
Why do term-partitioned secondary indexes complicate writes?	One document write may require coordinated updates to multiple index partitions.
Why are global secondary indexes often updated asynchronously?	Synchronous maintenance would require complex distributed coordination across partitions.
What is rebalancing in a partitioned database?	Moving data or partition ownership between nodes when cluster membership or load changes.
Why is `hash(key) mod N` a poor partitioning strategy when nodes are added or removed?	Changing `N` remaps most keys, forcing excessive data movement.
What is the fixed-number-of-partitions rebalancing strategy?	Create many partitions in advance and move whole partitions between nodes as the cluster changes.
What is a drawback of using a fixed number of partitions?	You must choose the partition count up front, balancing future growth against partition-management overhead.
What is dynamic partitioning?	Splitting partitions when they grow too large and merging them when they become too small.
Why can dynamic partitioning adapt better to changing data volume?	The number of partitions grows or shrinks with the size of the dataset.
Why can an empty dynamically partitioned database create a bottleneck at first?	It may start with a single partition, so all initial writes go to one node.
What is pre-splitting?	Creating an initial set of partitions before the data grows large enough to force automatic splits.
What does partitioning proportional to nodes mean?	Keeping a roughly fixed number of partitions per node so partition sizes stay more stable as nodes are added.
Why might manual rebalancing be safer than fully automatic rebalancing?	Automatic rebalancing can react badly to transient failures or overload, trigger extra data movement, and cause cascading instability.
What role can a coordination service like ZooKeeper play in partitioned systems?	It can store the authoritative mapping of partitions to nodes and notify others when assignments change.
What is the gossip-based approach to partition-routing metadata?	Nodes disseminate cluster-state changes among themselves instead of relying on a separate coordination service.
Why do transactions simplify application error handling?	They hide partial failure, so the application can usually retry instead of reasoning about half-finished changes.
What does ACID atomicity guarantee?	If a transaction cannot complete, any writes it made are discarded or undone.
What does ACID consistency mean?	Application-defined invariants should hold before and after a correct transaction.
What does ACID isolation aim to guarantee?	Concurrent transactions do not interfere in a way that changes the result from a correct serial execution.
What does ACID durability mean?	Once a transaction commits successfully, its writes should survive crashes or faults as far as the system can reasonably ensure.
Why are multi-object transactions useful?	They keep related writes to multiple rows, documents, or indexes in sync as one unit.
Why can denormalized data increase the need for multi-object transactions?	The same logical fact may be stored in several places and must be updated together to avoid inconsistency.
Why are retries not always safe or sufficient after a transaction abort?	Retries can duplicate work, worsen overload, repeat external side effects, or be pointless after permanent errors.
What does read committed guarantee about reads?	A transaction only sees committed data, preventing dirty reads.
What does read committed guarantee about writes?	It prevents dirty writes, so one transaction does not overwrite another transaction's uncommitted data.
What is read skew (nonrepeatable read)?	A transaction sees different committed values for related data at different times instead of one consistent snapshot.
What problem does snapshot isolation solve?	It lets a transaction read from a consistent point-in-time snapshot and avoids read skew.
Why is snapshot isolation useful for backups and analytic queries?	Long-running reads can see a coherent database state even while writes continue.
What is MVCC in databases?	Multi-version concurrency control keeps multiple versions of data so readers can use a consistent snapshot while writers proceed.
Why is the term `repeatable read` confusing in databases?	Different databases use the name for different guarantees, so it does not reliably mean one specific behavior.
What is a lost update?	Concurrent read-modify-write cycles overwrite one another so one transaction's change disappears.
What is the main idea of an atomic write operation?	Perform the update inside the database as one concurrency-safe step instead of a separate read-modify-write cycle in application code.
How can explicit locking prevent lost updates?	It forces conflicting read-modify-write cycles to run sequentially.
What is the idea behind automatic lost-update detection?	The database aborts a transaction if its write would clobber another concurrent transaction's change.
What is compare-and-set used for in concurrency control?	To update a value only if it has not changed since it was last read.
Why can compare-and-set still be unsafe in some databases?	If the condition is checked against a stale snapshot, it can miss a concurrent write.
What is write skew?	Concurrent transactions read overlapping state and write different rows, together violating a shared invariant.
Why does snapshot isolation not prevent write skew?	Each transaction can commit based on a snapshot whose premise became outdated before commit.
What is a phantom in transaction isolation?	A write changes the set of rows that would match another transaction's query.
Why can weak isolation levels still be dangerous?	They prevent some anomalies but still allow subtle race conditions such as lost updates, write skew, or phantoms.
What does serializable isolation guarantee?	The result is the same as if transactions had run one at a time in some serial order.
What is actual serial execution in transaction processing?	Executing transactions literally one after another, which avoids concurrency-control conflicts but limits throughput unless data is partitioned.
What is two-phase locking (2PL)?	A serializability technique that uses shared and exclusive locks held until the transaction ends.
What is the main downside of two-phase locking?	Blocking and deadlocks can significantly hurt latency and throughput under contention.
What is serializable snapshot isolation (SSI)?	An optimistic serializability technique that starts from snapshot isolation and aborts transactions with dangerous serialization conflicts.
What is the main advantage of SSI over two-phase locking?	Readers and writers usually do not block each other, so latency is often more predictable.
What is materializing conflicts in transaction isolation?	Introducing concrete lockable records so a phantom-style conflict becomes an explicit lock conflict.
What is a partial failure in a distributed system?	A failure in which some parts of the system are broken or unreachable while other parts continue to work.
Why are partial failures harder to handle than total failures?	They are nondeterministic and ambiguous: some operations may succeed, fail, or appear to hang without clearly revealing what happened.
Why can a distributed system not simply treat every fault as a full-system crash?	Internet services usually need to stay available while individual nodes or links fail, are repaired, or are upgraded.
What does it mean to build a reliable system from unreliable components?	Use higher-level mechanisms such as redundancy, retransmission, and coordination so the overall system tolerates faults in its parts.
Why is a missing network response ambiguous in an asynchronous network?	Because the request may have been lost, delayed, processed slowly, or processed successfully while the response was lost or delayed.
Why is choosing a timeout difficult in an asynchronous network?	Because delays are unbounded in principle, so a short timeout risks false suspicions while a long timeout delays failure detection.
How can premature timeouts make an overloaded distributed system worse?	They can trigger failover or load shifting onto other nodes, increasing load and causing cascading failure.
What is the main source of network-delay variability in packet networks?	Queueing due to contention for links, CPUs, buffers, or other shared resources.
Why can queueing delays become especially bad near maximum capacity?	Because small bursts can build long queues quickly when the system has little spare capacity to drain them.
What tradeoff does UDP make relative to TCP?	It reduces delay variability by avoiding retransmission and flow control, but it gives up reliable delivery and ordered byte streams.
What is the difference between a circuit-switched network and a packet-switched network?	Circuit switching reserves fixed bandwidth ahead of time; packet switching shares bandwidth dynamically among packets.
What tradeoff does packet switching make relative to circuit switching?	It improves utilization and flexibility for bursty traffic, but it allows queueing and unbounded delays.
What is a time-of-day clock?	A clock that reports the current date and wall-clock time according to a calendar.
What is a monotonic clock?	A clock that only moves forward and is used to measure elapsed time or durations.
Why is a time-of-day clock unsafe for measuring elapsed time?	Because it can jump forward or backward due to synchronization adjustments and other anomalies.
Why can't monotonic clock values be compared across different machines?	Because their absolute values are arbitrary and have meaning only on the local machine.
What limits the accuracy of clock synchronization in distributed systems?	Quartz drift, NTP error, network delay variability, virtualization effects, and misconfiguration.
Why can synchronized time-of-day clocks break event ordering?	Because clock skew can make a later event appear to have an earlier timestamp than an earlier event.
Why is last-write-wins dangerous when clocks are skewed?	A write with an incorrect later timestamp can overwrite causally newer data and silently lose updates.
What is a logical clock used for in a distributed system?	To capture relative ordering of events without relying on physical wall-clock time.
What is a clock confidence interval?	A range within which the true current time is believed to lie; it matters because fine timestamp precision is meaningless if the uncertainty is much larger.
Why can a process pause be dangerous when leadership or leases depend on time?	A paused process may resume believing its lease is still valid even though other nodes have already replaced it.
Name common causes of long process pauses in distributed systems.	Garbage collection, VM suspension or migration, scheduler delays, slow disk or network I/O, paging, and process-stop signals.
Why can a node wrongly believe it still holds a lease after a pause?	Because it did not observe the passage of real time while paused, but the rest of the system continued and may have let the lease expire.
Why can't a node fully trust its own view of whether it is alive or leader?	Because network faults and pauses can isolate it from the rest of the system, which may already have declared it dead and chosen someone else.
Why do many distributed algorithms rely on quorums?	Because agreement by a majority reduces dependence on any one node's possibly stale or incorrect local view.
What is a fencing token?	A monotonically increasing value attached to a lease or lock grant so stale holders can be detected and rejected.
Why must a protected resource check fencing tokens itself?	Because a stale client may still believe it is authorized, so the resource must reject requests with older tokens.
What is a Byzantine fault?	A fault in which a node may behave arbitrarily, including sending contradictory, corrupted, or malicious messages.
When are Byzantine-fault-tolerant protocols typically necessary?	When components cannot be trusted to behave honestly, such as in adversarial or corruption-prone environments.
What are the three timing-assumption system models in distributed systems?	Synchronous: bounded network delay, process pauses, and clock error; partially synchronous: usually bounded but occasionally violated; asynchronous: no timing assumptions at all.
What is the difference between crash-stop and crash-recovery fault models?	Crash-stop assumes a failed node never returns; crash-recovery assumes a node may crash and later restart with stable storage preserved.
What is a safety property in a distributed algorithm?	A property that says nothing bad ever happens; once violated, the violation has already occurred and cannot be undone.
What is a liveness property in a distributed algorithm?	A property that says something good eventually happens, possibly after waiting or recovery.
What does eventual consistency guarantee in a replicated system?	If writes stop and faults are repaired, replicas eventually converge so reads return the same value.
Why is eventual consistency hard for application developers?	Because it behaves unlike ordinary variables: a recent write may not be visible yet, and edge-case anomalies often appear only under faults or high concurrency.
What is linearizability in a distributed system?	A guarantee that the system behaves as if there were only one copy of the data and each operation took effect atomically at a single point in time.
What recency guarantee does linearizability provide?	Once a write completes successfully, all later reads must return that up-to-date value.
What is the difference between linearizability and serializability?	Linearizability is a recency guarantee for single-object operations; serializability is an isolation guarantee for transactions over potentially many objects.
Why is linearizability useful for leader election and distributed locks?	Because all nodes must agree on the current leader or lock holder, avoiding split brain and conflicting ownership.
Why do hard uniqueness constraints require linearizability?	Because the system must present one agreed current value when deciding whether a name, seat, or key is already taken.
Why can linearizability matter when components communicate through multiple channels?	It prevents cross-channel race conditions where one component observes an effect before another component can observe the state that caused it.
Which replication approaches can generally provide linearizable behavior?	Single-leader systems with up-to-date reads and consensus-based systems can; multi-leader systems generally cannot, and leaderless systems usually do not.
Why are quorum reads and writes alone not enough to guarantee linearizability in leaderless replication?	Because concurrent reads and writes can still observe old and new values in an order that violates recency.
What tradeoff does linearizability impose during a network interruption?	A replica that cannot reach the current authority may have to stop serving linearizable operations rather than risk returning stale or conflicting results.
Why is the usual “pick two of three” summary of CAP misleading?	Because partitions are faults rather than optional features, and the theorem's practical scope is much narrower than the slogan suggests.
Why do many systems give up linearizability?	To improve latency, throughput, and availability under network delay, not just for theoretical partition tolerance.
What does causality mean in a distributed system?	If one operation could have influenced another, the cause must be observed before the effect.
What does causal consistency guarantee?	If you observe an effect, you must also be able to observe the operations that causally preceded it.
What is the difference between the ordering implied by linearizability and the ordering implied by causality?	Linearizability imposes a total order on operations; causality imposes only a partial order, leaving concurrent operations incomparable.
Is linearizability stronger or weaker than causal consistency?	Stronger; any linearizable system preserves causality, but a causally consistent system need not be linearizable.
Why don't naive per-node sequence numbers or physical timestamps preserve causality across nodes?	Because independently generated numbers or skewed clocks can order events inconsistently with what actually happened before what.
What is a Lamport timestamp?	A logical timestamp, typically `(counter, node_id)`, that advances using the maximum value seen so far to produce a total order consistent with causality.
What is a key limitation of Lamport timestamps?	They impose a total order but cannot tell whether two operations were actually concurrent.
What is total order broadcast?	A protocol that delivers the same messages to all nodes in the same order, without losing them.
Why is total order broadcast useful for replication?	Applying the same writes in the same order keeps replicas consistent with each other.
Why is total order broadcast stronger than plain timestamp ordering?	Because once an order is delivered it is finalized; later information cannot be inserted retroactively ahead of already delivered messages.
What is atomic commit in a distributed transaction?	The requirement that all participants either commit or abort together.
Why can't a distributed transaction simply ask every participant to commit independently?	Because some participants could commit while others abort, violating atomicity.
What is the purpose of the prepare phase in two-phase commit?	To force each participant to durably promise that it can commit later if the coordinator tells it to.
When does the coordinator in two-phase commit reach the commit point?	When it durably records the final commit or abort decision in its log.
Why is two-phase commit a blocking protocol?	A participant that voted yes cannot unilaterally decide afterward, so it may have to wait for a failed coordinator to recover.
Why are in-doubt two-phase-commit transactions dangerous?	They can keep locks open and block other transactions until the final outcome is resolved.
Why is three-phase commit not a practical general solution to blocking atomic commit?	Because it assumes bounded network delay and response times, which real distributed systems usually cannot guarantee.
